,title,aliases,rank_display,rank,country,region,Total_Students_x,Total_Students_y,Total_Faculty_x,Total_Faculty_y,Faculty/Student_ratio_x,Faculty/Student_ratio_y,International_Students_x,International_Students_y,Inter/Total_student_ratio_x,Inter/Total_student_ratio_y,International_Faculty_x,International_Faculty_y
77,Durham University,Durham University,=78,97,United Kingdom,Europe,16745.0,16310,1539.0,1094.0,0.09190803224843237,0.06711409395973154,4690.0,4729.0,0.2800836070468797,0.29,586.0,
78,Lund University,Lund University,=78,93,Sweden,Europe,27786.0,28663,3031.0,2368.0,0.10908371122147845,0.08264462809917356,6408.0,4586.0,0.23061973655797885,0.16,1002.0,
79,"University of North Carolina, Chapel Hill",University of North Carolina at Chapel Hill,80,=56,United States,North America,25373.0,34684,4083.0,3575.0,0.16091908721869705,0.10309278350515465,1934.0,2774.0,0.07622275647341663,0.08,524.0,
80,Boston University,Boston University,81,=70,United States,North America,25662.0,24833,3157.0,2887.0,0.12302236770321877,0.11627906976744186,7041.0,6208.0,0.2743745616086042,0.25,379.0,
81,The University of Auckland,University of Auckland,=82,192,New Zealand,Oceania,29641.0,30348,2047.0,1614.0,0.0690597483215816,0.05319148936170213,8568.0,8800.0,0.28905907358051347,0.29,645.0,
82,The University of Sheffield,University of Sheffield,=82,104,United Kingdom,Europe,25430.0,24581,3065.0,1649.0,0.12052693668895006,0.06711409395973154,8745.0,8849.0,0.3438851749901691,0.36,938.0,
83,University of Birmingham,University of Birmingham,=84,=141,United Kingdom,Europe,28660.0,27061,2962.0,1804.0,0.10334961618981159,0.06666666666666667,7795.0,7306.0,0.27198185624563853,0.27,1028.0,
84,The University of Nottingham,University of Nottingham,=84,=147,United Kingdom,Europe,29165.0,29176,3360.0,2084.0,0.11520658323332762,0.07142857142857142,7993.0,8752.0,0.2740613749357106,0.3,1135.0,
85,The Ohio State University,Ohio State University,86,=70,United States,North America,43156.0,53190,5911.0,4188.0,0.13696820836036705,0.07874015748031496,6874.0,6914.0,0.1592826026508481,0.13,1696.0,
86,Zhejiang University,Zhejiang University ZJU Zhejiang University China research,87,=177,China,Asia,40869.0,50051,4507.0,3549.0,0.110279184712129,0.07092198581560284,4625.0,3003.0,0.11316645868506692,0.06,1913.0,
87,"Trinity College Dublin, The University of Dublin",Trinity College Dublin,88,=117,Ireland,Europe,14961.0,16157,1249.0,708.0,0.08348372434997661,0.043859649122807015,4311.0,4362.0,0.2881491878885101,0.27,544.0,
88,Rice University,Rice University,89,=86,United States,North America,6610.0,6441,969.0,715.0,0.14659606656580937,0.1111111111111111,1847.0,1803.0,0.2794251134644478,0.28,316.0,
90,University of Alberta,University of Alberta,=90,=119,Canada,North America,31765.0,32435,3561.0,1501.0,0.11210451755076342,0.046296296296296294,8203.0,8433.0,0.2582402014796159,0.26,1294.0,
91,University of St Andrews,University of St Andrews,92,=143,United Kingdom,Europe,8800.0,9005,1140.0,692.0,0.12954545454545455,0.07692307692307693,4030.0,4322.0,0.45795454545454545,0.48,485.0,
92,The University of Western Australia,University of Western Australia uwa,=93,=111,Australia,Oceania,18531.0,18787,1420.0,861.0,0.07662835249042145,0.04587155963302752,4575.0,4696.0,0.24688360045329447,0.25,809.0,
93,Pennsylvania State University,Pennsylvania State University,=93,77,United States,North America,45612.0,45411,3509.0,2987.0,0.07693150925195125,0.06578947368421052,7081.0,6357.0,0.15524423397351575,0.14,211.0,
